,,,English Phoneme,Example,,Translation,,,,,Ekalipi Phoneme,Example,Ekalipi Translation,,,,,
,,,AA,odd,,AA,D,,,,ö,öD-D,ö,D-,D,,,
,,,AE,at,,AE,T,,,,@,Ø@T,@,T,,,,
,,,AH,hut,,HH,AH,T,,,H,H-HT,H-H,T,,,,
,,,AO,ought,,AO,T,,,,ö,öT,ö,T,,,,
,,,AW,cow,,K,AW,,,,Å,KÅ,K,Å,,,,
,,,AY,hide,,HH,AY,D,,,Δ,HΔD,H,Δ,D,,,
,,,B,be,,B,IY,,,,B,Be,B,e,,,,
,,,CH,cheese,,CH,IY,Z,,,C,CEZ,C,E,Z,,,
,,,D,dee,,D,IY,,,,D,DE,D,E,,,,
,,,DH,thee,,DH,IY,,,,đ,đE,đ,E,,,,
,,,EH,Ed,,EH,D,,,,\-,\-HD,\-,H,D,,,
,,,ER,hurt,HH,ER,T,,,,H,HR-T,H,R-,T,,,
,,,EY,ate,,EY,T,,,,\T,\T,\,T,,,,
,,,F,fee,,F,IY,,,,F,FFE,F,E,,,,
,,,G,green,,G,R,IY,N,,G,G-REN,G-,R,E,N,,
,,,HH,he,,HH,IY,,,,H,He,H,e,,,,
,,,IH,it,,IH,T,,,,e,eT,e,T,,,,
,,,IY,eat,,IY,T,,,,E,ET,E,T,,,,
,,,JH,gee,,JH,IY,,,,J,JE,J,E,,,,
,,,K,key,,K,IY,,,,K,KE,K,E,,,,
,,,L,lee,,L,IY,,,,L,LE,L,E,,,,
,,,M,me,,M,IY,,,,M,Me,M,e,,,,
,,,N,knee,,N,IY,,,,N,NE,N,E,,,,
,,,NG,ping,P IH,NG,,,,,P,PeN-G,P,e,N-,G,,
,,,OW,oat,,OW,T,,,,O,OAT,O,A,T,,,
,,,OY,toy,,T,OY,,,,ö-Y,Tö-Y,T,ö-,Y,,,
,,,P,pee,,P,IY,,,,P,PE,P,E,,,,
,,,R,read,,R,IY,D,,,R,RED,R,E,D,,,
,,,S,sea,,S,IY,,,,S,SE,S,E,,,,
,,,SH,she,,SH,IY,,,,S-H,S-He,S-,H,e,,,
,,,T,tea,,T,IY,,,,T,TE,T,E,,,,
,,,TH,theta,,TH,EY,T,AH,,Ŧ-H,Ŧ-H\T|,Ŧ-,H,\,T,|,
,,,UH,hood,,HH,UH,D,,,U,HUD,H,U,H-,D,,
,,,UW,two,T,UW,,,,,U,TU,T,U,,,,
,,,V,vee,,V,IY,,,,V,VE,V,E,,,,
,,,W,we,,W,IY,,,,W,We,W,e,,,,
,,,Y,yield,,Y,IY,L,D,,Y,YEL-D,Y,E,L-,D,,
,,,Z,zee,,Z,IY,,,,Z,ZE,Z,E,,,,
,,,ZH,seizure,S IY,ZH,ER,,,,Z-H,SEZ-HAR,S,E,Z-,H,A,R
,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
The lower case e and the upper case E are different in Ekalipi,,,,,,,,,,,,,,,,,,
The lower case u and the upper case are different in Ekalipi,,,,,,,,,,,,,,,,,,
Some of the phonemes are combination characters in Ekalipi. The hyphen means that the characteris not pronounced fully and is merged with the following character.,,,,,,,,,,,,,,,,,,
"English uses an intonation/accent with some phonemes that Ekalipi does not. For example UW in hood, OW in oat. Maybe it is an error on the part of CMU or my accent is the problem.",,,,,,,,,,,,,,,,,,
"The EH in Ed and the EY in Ed sound the same to me. Chris, do they sound different to you?",,,,,,,,,,,,,,,,,,
